"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 13:53:40 YEKT 2024","Tue May 21 13:53:41 YEKT 2024","913","","test_allure","","","","Иконка Почта Mail.ru","Тест-кейс TRT-030. Проверка функциональности ссылки объекта: иконка почты Mail.ru"
"passed","Tue May 21 13:53:34 YEKT 2024","Tue May 21 13:53:39 YEKT 2024","4274","","test_allure","","","","Иконка Вконтакте","Тест-кейс TRT-028. Проверка функциональности ссылки объекта: иконка ВКонтакте"
"passed","Tue May 21 13:53:53 YEKT 2024","Tue May 21 13:53:54 YEKT 2024","1539","","test_allure","","","","Иконка Яндекс ID","Тест-кейс TRT-031. Проверка функциональности ссылки объекта: иконка яндекс ID"
"passed","Tue May 21 13:53:39 YEKT 2024","Tue May 21 13:53:40 YEKT 2024","1033","","test_allure","","","","Иконка Одноклассники","Тест-кейс TRT-029. Проверка функциональности ссылки объекта: иконка Одноклассники"
